,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2
3401,Luxembourg,Europe,Social distancing,limit public gatherings,Extension of time limits for submitting reports to the Environmental Authorities,"ministry of the environment, climate and sustainable development and the environment administration ",2020-04-01,LU
3402,Luxembourg,Europe,Governance and socio-economic measures,economic measures,Government and union agreement on the conditions of part-time work,agency for the development of employment (adem),2020-04-01,LU
3403,Luxembourg,Europe,Governance and socio-economic measures,economic measures,Increase in rent subsidy and protection of tenants,ministry of housing,2020-04-01,LU
3404,Malta,Europe,Public health measures,strengthening the public health system,Additional beds and intensive care beds for Covid-19 patients freed,government,2020-04-01,MT
3405,Malta,Europe,Public health measures,general recommendations,"Taxi driver continue to be allowed to operate at their own risk, to support them the government developed specific guidelines for their personal protection",government,2020-04-01,MT
3406,Norway,Europe,Public health measures,strengthening the public health system,Government supporting the  production of emergency ventilators,government,2020-04-01,NO
3407,Norway,Europe,Governance and socio-economic measures,economic measures,"Ability of government offices established to pay unemployment benefits in advance, and extension of unemployment benefit period",government,2020-04-01,NO
3408,Norway,Europe,Governance and socio-economic measures,economic measures,Shorter employer period for sickness benefits; Easier to report sickness without physician?s certificate; Sickness benefits for self-employed persons and freelancers,government,2020-04-01,NO
3409,Norway,Europe,Governance and socio-economic measures,economic measures,Further reduction of VAT,government,2020-04-01,NO
3410,Norway,Europe,Governance and socio-economic measures,economic measures,Compensation scheme for unavoidable business expenses,government,2020-04-01,NO
3411,Norway,Europe,Governance and socio-economic measures,economic measures,"Grants for young growth companies ? NOK 2.5 billion; Innovation loans ? increased loan framework by NOK 1.6 billion, to NOK 3 billion; Interest payment support fund ? NOK 300 million; Grants for private innovation groups ? NOK 50 million; Business-oriented research ? NOK 250 million; Capital for fund and matching investments ? NOK 1 billion",government,2020-04-01,NO
3412,Norway,Europe,Governance and socio-economic measures,economic measures,Temporary changes in the mortgage regulation,government,2020-04-01,NO
3413,Norway,Europe,Public health measures,awareness campaigns,Materials developed in multiple languages (16.03.2020) and for specific at-risk groups,norwegian institut of public health,2020-04-01,NO
3414,Norway,Europe,Public health measures,strengthening the public health system,Police considered critical institution to support the enforcement of Covid-19 measures and have thus been allocated NOK 232 million ,government,2020-04-01,NO
3415,Norway,Europe,Public health measures,strengthening the public health system,NOK 2.2 billion for the vaccine development allocated to the Coalition for Epidemic Preparedness Innovations (Cepi),government,2020-04-01,NO
3416,Poland,Europe,Movement restrictions,curfews,Minors under age 18 are not allowed outside on their own without a parent or guardian,US Embassy in Poland,2020-04-01,PL
3417,Poland,Europe,Social distancing,Public services closure,Public parks are being closed,US Embassy in Poland,2020-04-01,PL
3418,Burkina Faso,Africa,Public health measures,introduction of isolation and quarantine policies,"The city of Ouagadougou, Bobo-Dioulasso, Boromo, Hound, Ddougou, Banfora, Manga et Zorgho are under quarantine for 2 weeks. Entry to these cities is forbidden, excepted for trade. Any other locality with positive Covid-19 cases will immediately be put in quarantine.",government ? burkina faso,2020-04-01,BF
3419,Poland,Europe,Social distancing,Public services closure,Hotels and hostels will be closed  ,US Embassy in Poland,2020-04-01,PL
3420,Poland,Europe,Public health measures,strengthening the public health system,Limitation of sales of Arechin and Plaquenil medicinal products,government,2020-04-01,PL
3421,Poland,Europe,Public health measures,general recommendations,"Recommendations for nurses, midwives and dentists in the dealing with patients disemminated ",government,2020-04-01,PL
3422,Poland,Europe,Public health measures,general recommendations,Recommendations for employers to protect their employees and public health,government,2020-04-01,PL
3423,Poland,Europe,Governance and socio-economic measures,economic measures,Extension of previously established care allowed period and extending rights to parents with children having a disability even if older than 8 years,ministry of social security,2020-04-01,PL
3424,Poland,Europe,Governance and socio-economic measures,economic measures,Suspension of job seeking requirements for the unemployed,ministry of social security,2020-04-01,PL
3425,Angola,Africa,Public health measures,strengthening the public health system,The Health Ministry has allocated 72 million kwanzas to assist the central Cuanza Sul province to purchase bio-security materials and training of staff for the prevention of the COVID-19 in that region.,angop,2020-04-01,AO
3426,Angola,Africa,Public health measures,strengthening the public health system,"The management of Hotel IU made available to the Government of the province of Huambo, a total of 60 rooms as a place of institutional quarantine, for suspected cases of the Covid-19 (new Coronavirus) pandemic.",angop,2020-04-01,AO
3427,New Zealand,Pacific,Public health measures,awareness campaigns,Covid-19 info in NZ Sign language (NZ 3rd official language),nz govt,2020-04-01,NZ
3428,Burkina Faso,Africa,Social distancing,Schools closure,"Extension of school closure for 2 more weeks, until 14th of April.",government ? burkina faso,2020-04-01,BF
3429,Netherlands,Europe,Social distancing,Public services closure,The Netherlands has extended all of it's covid-19 regualtions until the 28th April.,the northern times,2020-04-01,NL
3430,Ethiopia,Africa,Social distancing,changes in prison-related policies,"Ethiopia?s president has released over 4,000 prisoners in an effort to prevent overcrowding in prisons and contain the spread of the coronavirus. ",democracy now,2020-04-01,ET
3431,Lesotho,Africa,Lockdown,partial lockdown,"Lesotho goes into lockdown until the 21st of April. Residents will still be permitted to buy food and seek medical care during this period. Emergency responders, health workers, and security service staff are exempt from the lockdown measures. ",garda,2020-04-01,LS
3432,Lesotho,Africa,Social distancing,Public services closure,"All businesses will reportedly be closed except for supermarkets, pharmacies, banks, petrol stations, as well as healthcare centers. ",garda,2020-04-01,LS
3433,Lesotho,Africa,Social distancing,limit public gatherings,Public transport operators have been urged to strictly observe a reduced passenger loads and are expected to operate from 06:00 to 10:00 and 15:00 to 18:00.,garda,2020-04-01,LS
3434,Lesotho,Africa,Movement restrictions,Border closure,"Lesotho's borders with South Africa will be closed, though the supply of goods will not be disrupted.",garda,2020-04-01,LS
3435,Lesotho,Africa,Social distancing,limit public gatherings,All social gatherings are banned except for funerals where not more than 50 people are expected to attend.,us embassy,2020-04-01,LS
3436,Lesotho,Africa,Movement restrictions,surveillance and monitoring,Media houses / journalists who peddle wrong or misleading information about COVID 19 will be  prosecuted and their media houses might face closure.,us embassy,2020-04-01,LS
3437,Maldives,Asia,Social distancing,Public services closure,"The Maldives extends its closure of government offices, schools, colleges and universities for one more week. ",the president's office,2020-04-01,MV
